customer_id,segment,C1,C2,C3,C4,C5,G1,G2,G3,P1,P2,P3,P4,D1,D2,D3,A1,A2,A3,A4,A5,sar_last_12m,onboarded
NG-10270,Personal,Sole trader or joint,Natural person,Regulated profession,No match,False positive,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",Up to 10 percent,Over 40 percent,Employer and retail,Consistent,No,2024-05-16
NG-10189,Personal,Individual,Natural person,"MSB, TCSP or HVD",Domestic PEP,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",No cash credits,None,Employer and retail,Consistent,No,2025-08-20
NG-10372,Limited company,"UK company, natural owners","Two layers, evidenced",Regulated profession,No match,No match,United Kingdom,UK tax residence only,"Weaker AML, unlisted","Business account, cash and international",2k to 10k a month,Regular payments,"Mandate, evidenced","Digital, own app","Electronic, two sources",Customer referral,Above sector expectation,10 to 30 percent,"Over 40 percent, listed country",Many individuals,Consistent,No,2024-10-16
NG-10317,Sole trader,Sole trader or joint,Natural person,Employed or pension,PEP family or associate,No match,United Kingdom,UK tax residence only,UK only,"Business account, basic",Over 10k a month,Occasional payments,Sole party,Branch,"Electronic, one source",Comparison site,"Over 25k, consistent",10 to 30 percent,None,Many individuals,Consistent,No,2025-09-01
NG-10170,Personal,Individual,Natural person,Cash-intensive trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,Not enabled,"Joint, related","Digital, own app","Electronic, two sources",Comparison site,"5k to 25k, consistent",Up to 10 percent,Up to 10 percent,Employer and retail,"Minor, explained",No,2025-08-12
NG-10194,Personal,Sole trader or joint,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,"Current account, no overdraft",Withdrawal only,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Comparison site,Above sector expectation,Up to 10 percent,None,Employer and retail,Consistent,Yes,2025-11-05
NG-10060,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",No cash credits,None,Named businesses,Consistent,No,2025-08-16
NG-10155,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Withdrawal only,"Enabled, unused",Sole party,"Digital, own app",Documents face to face,Direct,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2024-01-03
NG-10039,Personal,Sole trader or joint,Natural person,General trade,No match,False positive,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",No cash facility,"Enabled, unused","Joint, related","Digital, own app","Electronic, two sources",Customer referral,"Under 5k, consistent",10 to 30 percent,Up to 10 percent,Named businesses,Consistent,No,2025-12-15
NG-10053,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Withdrawal only,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",Up to 10 percent,Up to 10 percent,Employer and retail,Consistent,No,2024-09-21
NG-10371,Limited company,"UK company, natural owners",One or two UBOs,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, cash and international",Under 2k a month,Not enabled,Unexplained signatories,"Digital, assisted",Documents face to face,Direct,Above sector expectation,No cash credits,10 to 40 percent,Named businesses,Resolved on follow-up,No,2024-03-18
NG-10008,Personal,Individual,Natural person,Cash-intensive trade,No match,No match,United Kingdom,"Further tax residence, unlisted",UK only,"Current account, no overdraft",No cash facility,Occasional payments,"Joint, related","Digital, assisted","Electronic, two sources",Register checked,"Over 25k, consistent",No cash credits,None,Employer and retail,Consistent,No,2025-01-04
NG-10282,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,"Enabled, unused",Sole party,"Digital, assisted","Electronic, two sources",Direct,"Under 5k, consistent",10 to 30 percent,None,Employer and retail,Consistent,No,2024-02-10
NG-10172,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Savings only,Under 2k a month,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",Up to 10 percent,10 to 40 percent,Employer and retail,Consistent,No,2024-02-17
NG-10143,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Customer referral,"Under 5k, consistent",No cash credits,None,Employer and retail,Consistent,No,2024-03-11
NG-10391,Limited company,"UK company, natural owners",One or two UBOs,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, cash and international",Over 10k a month,Not enabled,"Mandate, evidenced",Telephone and branch,"Electronic, one source",Customer referral,"Over 25k, consistent",30 to 60 percent,Over 40 percent,Many individuals,Consistent,No,2025-03-09
NG-10400,Limited company,"UK company, corporate owner",One or two UBOs,Regulated profession,No match,No match,United Kingdom,"Further tax residence, unlisted",UK only,"Business account, cash and international",Over 10k a month,"Enabled, unused",Sole party,Unsupervised intermediary,Certified copies,Comparison site,"5k to 25k, consistent",30 to 60 percent,None,Sector 4 counterparties,Consistent,Yes,2025-04-29
NG-10365,Limited company,"Trust, nominee or overseas",One or two UBOs,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, basic",Withdrawal only,"Enabled, unused",Sole party,"Digital, assisted",Certified copies,Direct,"Under 5k, consistent",10 to 30 percent,Over 40 percent,Many individuals,Consistent,No,2025-01-04
NG-10149,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Savings only,Under 2k a month,Not enabled,Sole party,"Digital, own app","Electronic, one source",Direct,"5k to 25k, consistent",No cash credits,None,Named businesses,Consistent,No,2025-07-28
NG-10383,Limited company,"Trust, nominee or overseas",One or two UBOs,Regulated profession,No match,No match,United Kingdom,UK tax residence only,"Weaker AML, unlisted","Business account, basic",2k to 10k a month,Occasional payments,Power of attorney,"Digital, own app","Electronic, one source",Direct,"5k to 25k, consistent",Up to 10 percent,10 to 40 percent,Many individuals,Resolved on follow-up,No,2025-02-26
NG-10250,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,Current account with credit,No cash facility,"Enabled, unused",Sole party,"Digital, assisted","Electronic, two sources",Direct,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2024-03-17
NG-10121,Personal,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,Current account with credit,Withdrawal only,"Enabled, unused",Sole party,"Digital, own app","Electronic, one source",Direct,"Under 5k, consistent",Up to 10 percent,Up to 10 percent,Employer and retail,Consistent,No,2025-12-10
NG-10369,Limited company,"UK company, natural owners",One or two UBOs,"MSB, TCSP or HVD",No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, cash and international",Over 10k a month,Regular payments,"Joint, related",Unsupervised intermediary,"Electronic, two sources",Register checked,"Over 25k, consistent",No cash credits,None,Many individuals,Consistent,No,2025-08-28
NG-10338,Sole trader,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,"Business account, basic",2k to 10k a month,Not enabled,"Joint, related","Digital, own app",Uncorroborated documents,Direct,"5k to 25k, consistent",10 to 30 percent,Up to 10 percent,Many individuals,Consistent,No,2024-04-02
NG-10313,Sole trader,Sole trader or joint,Natural person,General trade,No match,False positive,United Kingdom,UK tax residence only,UK only,"Business account, basic",Over 10k a month,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",30 to 60 percent,10 to 40 percent,Many individuals,Consistent,No,2024-01-19
NG-10230,Personal,Sole trader or joint,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,"Current account, no overdraft",Under 2k a month,"Enabled, unused","Mandate, evidenced","Digital, own app","Electronic, two sources",Direct,"Over 25k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2025-07-18
NG-10091,Personal,Individual,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,Current account with credit,No cash facility,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Direct,"Over 25k, consistent",No cash credits,None,Employer and retail,Consistent,No,2024-09-15
NG-10032,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Savings only,Under 2k a month,Not enabled,"Joint, related","Digital, assisted","Electronic, two sources",Direct,"Under 5k, consistent",No cash credits,None,Employer and retail,Consistent,No,2025-06-06
NG-10092,Personal,Individual,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Withdrawal only,"Enabled, unused","Joint, related",Unsupervised intermediary,"Electronic, two sources",Comparison site,"Under 5k, consistent",10 to 30 percent,None,Named businesses,Consistent,No,2024-03-28
NG-10113,Personal,Sole trader or joint,Natural person,Employed or pension,No match,False positive,United Kingdom,UK tax residence only,UK only,Savings only,Under 2k a month,Not enabled,Sole party,"Digital, own app",Documents face to face,Direct,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2024-10-26
NG-10044,Personal,Individual,Natural person,Employed or pension,No match,False positive,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,Not enabled,Sole party,"Digital, assisted","Electronic, two sources",Direct,"Under 5k, consistent",10 to 30 percent,None,Employer and retail,Consistent,No,2025-07-03
NG-10262,Personal,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,Payments to listed country,"Joint, related","Digital, assisted","Electronic, two sources",Comparison site,"Under 5k, consistent",30 to 60 percent,None,Employer and retail,Consistent,No,2024-04-08
NG-10221,Personal,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",No cash facility,Not enabled,Sole party,"Digital, assisted","Electronic, one source",Direct,"Under 5k, consistent",10 to 30 percent,None,Employer and retail,Consistent,No,2024-12-03
NG-10399,Limited company,"UK company, natural owners",Three to five UBOs,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, cash and international",Under 2k a month,Regular payments,Power of attorney,"Digital, assisted","Electronic, two sources",Comparison site,Above sector expectation,10 to 30 percent,10 to 40 percent,Many individuals,"Minor, explained",Yes,2024-11-01
NG-10243,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,"Further tax residence, unlisted",UK only,"Current account, no overdraft",Under 2k a month,Regular payments,Sole party,"Digital, own app","Electronic, one source",Direct,"Under 5k, consistent",30 to 60 percent,None,Employer and retail,"Minor, explained",No,2025-12-13
NG-10022,Personal,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,Regular payments,Sole party,Telephone and branch,"Electronic, two sources",Direct,"Under 5k, consistent",10 to 30 percent,Up to 10 percent,Employer and retail,Consistent,No,2025-09-28
NG-10003,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Withdrawal only,"Enabled, unused",Sole party,"Digital, own app","Electronic, one source",Direct,"5k to 25k, consistent",No cash credits,None,Many individuals,"Minor, explained",No,2025-06-17
NG-10002,Personal,Sole trader or joint,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,Occasional payments,Sole party,Branch,"Electronic, two sources",Direct,"Under 5k, consistent",Up to 10 percent,Up to 10 percent,Employer and retail,"Minor, explained",No,2024-08-09
NG-10231,Personal,Individual,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Comparison site,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2024-09-20
NG-10380,Limited company,"UK company, natural owners",One or two UBOs,General trade,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,"Business account, basic",Over 10k a month,"Enabled, unused",Sole party,"Digital, own app",Uncorroborated documents,Customer referral,"5k to 25k, consistent",30 to 60 percent,Over 40 percent,Named businesses,Resolved on follow-up,No,2025-10-04
NG-10196,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,"Further tax residence, unlisted","Weaker AML, unlisted","Current account, no overdraft",Withdrawal only,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",No cash credits,10 to 40 percent,Sector 4 counterparties,Consistent,No,2025-04-23
NG-10304,Sole trader,Sole trader or joint,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,"Business account, basic",Over 10k a month,Occasional payments,Sole party,"Digital, own app","Electronic, two sources",Register checked,"5k to 25k, consistent",10 to 30 percent,None,Many individuals,Consistent,No,2025-01-19
NG-10106,Personal,Individual,Natural person,General trade,No match,"Adverse media, financial crime",United Kingdom,UK tax residence only,Unlisted countries,Current account with credit,Withdrawal only,Occasional payments,Sole party,"Digital, own app","Electronic, two sources",Customer referral,"5k to 25k, consistent",10 to 30 percent,Up to 10 percent,Named businesses,Consistent,No,2025-09-30
NG-10114,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Withdrawal only,Regular payments,Sole party,"Digital, own app","Electronic, two sources",Customer referral,"5k to 25k, consistent",No cash credits,None,Employer and retail,Consistent,No,2025-06-18
NG-10326,Sole trader,Sole trader or joint,Natural person,Cash-intensive trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, basic",Under 2k a month,Occasional payments,Sole party,Unsupervised intermediary,"Electronic, two sources",Comparison site,"5k to 25k, consistent",10 to 30 percent,10 to 40 percent,Employer and retail,Consistent,No,2024-03-25
NG-10010,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,"Enabled, unused",Sole party,"Digital, assisted","Electronic, two sources",Direct,"Under 5k, consistent",Up to 10 percent,Up to 10 percent,Employer and retail,Consistent,No,2024-10-23
NG-10324,Sole trader,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, basic",2k to 10k a month,Payments to listed country,Sole party,"Digital, own app","Electronic, two sources",Direct,"Over 25k, consistent",No cash credits,None,Many individuals,Consistent,No,2025-10-09
NG-10323,Sole trader,Sole trader or joint,Natural person,Cash-intensive trade,No match,No match,United Kingdom,UK tax residence only,"Weaker AML, unlisted","Business account, basic",Over 10k a month,Occasional payments,"Mandate, evidenced",Branch,Documents face to face,Comparison site,"Under 5k, consistent",Up to 10 percent,10 to 40 percent,Named businesses,Consistent,No,2025-10-27
NG-10178,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,"Enabled, unused","Joint, related","Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",Up to 10 percent,Up to 10 percent,Employer and retail,Consistent,No,2025-10-04
NG-10234,Personal,Individual,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,"Enabled, unused","Joint, related","Digital, own app","Electronic, one source",Direct,"5k to 25k, consistent",Up to 10 percent,Up to 10 percent,Employer and retail,Consistent,No,2024-04-24
NG-10325,Sole trader,Sole trader or joint,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,"Business account, cash and international",2k to 10k a month,Occasional payments,"Joint, related",Branch,"Electronic, one source",Direct,Above sector expectation,30 to 60 percent,None,Many individuals,Consistent,No,2025-09-24
NG-10184,Personal,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,Current account with credit,Withdrawal only,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",No cash credits,None,Employer and retail,Consistent,No,2024-09-27
NG-10069,Personal,Individual,Natural person,General trade,Domestic PEP,No match,United Kingdom,UK tax residence only,UK only,Savings only,Under 2k a month,Not enabled,Sole party,"Digital, own app","Electronic, one source",Direct,"5k to 25k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2025-11-29
NG-10016,Personal,Sole trader or joint,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,Occasional payments,Sole party,"Digital, own app","Electronic, two sources",Direct,"Over 25k, consistent",10 to 30 percent,Up to 10 percent,Named businesses,Consistent,No,2024-02-15
NG-10329,Sole trader,Sole trader or joint,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, basic",2k to 10k a month,Occasional payments,Power of attorney,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",30 to 60 percent,Up to 10 percent,Named businesses,Unresolved,No,2024-12-17
NG-10204,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",No cash facility,"Enabled, unused","Joint, related","Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",30 to 60 percent,Up to 10 percent,Named businesses,Consistent,No,2024-06-16
NG-10307,Sole trader,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, basic",Over 10k a month,Occasional payments,Sole party,"Digital, own app","Electronic, one source",Direct,"5k to 25k, consistent",10 to 30 percent,None,Named businesses,Consistent,No,2025-05-11
NG-10239,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,"Current account, no overdraft",Withdrawal only,Occasional payments,Sole party,"Digital, assisted","Electronic, two sources",Direct,"Under 5k, consistent",No cash credits,Up to 10 percent,Many individuals,Consistent,No,2025-11-04
NG-10298,Personal,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Withdrawal only,Occasional payments,Sole party,"Digital, own app","Electronic, two sources",Comparison site,"Under 5k, consistent",Up to 10 percent,None,Named businesses,Consistent,No,2025-01-13
NG-10139,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,Savings only,Withdrawal only,Not enabled,Sole party,"Digital, assisted","Electronic, two sources",Direct,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2024-10-09
NG-10386,Limited company,"UK company, natural owners",Three to five UBOs,Regulated profession,No match,No match,United Kingdom,"Further tax residence, unlisted",Unlisted countries,"Business account, cash and international",Under 2k a month,Occasional payments,"Mandate, evidenced","Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",No cash credits,Up to 10 percent,Many individuals,"Minor, explained",No,2025-11-01
NG-10378,Limited company,"UK company, corporate owner",Three to five UBOs,General trade,Foreign PEP,No match,United Kingdom,UK tax residence only,UK only,"Business account, basic",Over 10k a month,"Enabled, unused",Unexplained signatories,Telephone and branch,"Electronic, two sources",Direct,"Over 25k, consistent",10 to 30 percent,None,Named businesses,Consistent,No,2024-11-21
NG-10188,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,Occasional payments,"Joint, related","Digital, own app","Electronic, two sources",Customer referral,"Under 5k, consistent",Up to 10 percent,None,Undescribed or sector 5,Consistent,No,2025-01-23
NG-10279,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,"Further tax residence, unlisted",UK only,Savings only,Withdrawal only,"Enabled, unused","Joint, related","Digital, assisted","Electronic, two sources",Direct,"Under 5k, consistent",Up to 10 percent,Over 40 percent,Undescribed or sector 5,Consistent,No,2025-07-18
NG-10096,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,Savings only,Under 2k a month,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2025-12-05
NG-10021,Personal,Sole trader or joint,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,Savings only,Withdrawal only,"Enabled, unused","Mandate, evidenced","Digital, assisted","Electronic, two sources",Direct,"Under 5k, consistent",10 to 30 percent,None,Employer and retail,Unresolved,No,2025-02-16
NG-10068,Personal,Individual,Natural person,General trade,No match,No match,United Kingdom,"Further tax residence, unlisted",UK only,Savings only,Withdrawal only,Occasional payments,Sole party,"Digital, assisted","Electronic, one source",Direct,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2024-09-12
NG-10336,Sole trader,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, basic",Under 2k a month,Not enabled,"Mandate, evidenced",Branch,"Electronic, two sources",Direct,"5k to 25k, consistent",30 to 60 percent,None,Many individuals,Consistent,No,2024-04-20
NG-10130,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Withdrawal only,Not enabled,"Joint, related","Digital, assisted","Electronic, one source",Comparison site,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2024-06-02
NG-10119,Personal,Individual,Natural person,General trade,No match,No match,United Kingdom,"Further tax residence, unlisted",UK only,"Current account, no overdraft",Under 2k a month,Occasional payments,Sole party,"Digital, own app",Uncorroborated documents,Direct,"5k to 25k, consistent",No cash credits,Up to 10 percent,Employer and retail,"Minor, explained",No,2024-03-13
NG-10237,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",10 to 30 percent,None,Named businesses,Consistent,No,2024-10-08
NG-10284,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",No cash facility,Regular payments,Sole party,"Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2025-12-11
NG-10272,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,Current account with credit,Under 2k a month,Not enabled,Sole party,Branch,Documents face to face,Comparison site,"Under 5k, consistent",No cash credits,Up to 10 percent,Employer and retail,Consistent,No,2024-05-22
NG-10263,Personal,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,Savings only,Withdrawal only,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Direct,Above sector expectation,Up to 10 percent,None,Named businesses,Consistent,No,2025-09-18
